time,PM2.5,PM10
2021-02-04 15:00:00,16.751840101613418,20.351157503657
2021-02-04 16:00:00,18.27347930961097,21.763133710755163
2021-02-04 17:00:00,21.964964059724384,25.753637006282418
2021-02-04 18:00:00,34.99316412808098,39.82080027239955
2021-02-04 19:00:00,32.53850305610289,37.86618527147512
2021-02-04 20:00:00,34.83595629857333,39.4875198371625
2021-02-04 21:00:00,34.917192091412204,38.6737032004269
2021-02-04 22:00:00,35.90689241727217,39.33482008563147
2021-02-04 23:00:00,35.34943304273757,38.87568310684623
2021-02-05 00:00:00,41.25815389774254,44.84468803561979
2021-02-05 01:00:00,60.91479586601292,65.58997038841218
2021-02-05 02:00:00,58.514305820770716,62.9165825010107
2021-02-05 03:00:00,57.21414170901005,60.68638580640124
2021-02-05 04:00:00,56.29019771681852,59.29527857250584
2021-02-05 05:00:00,59.578315653270266,62.37311487515749
2021-02-05 06:00:00,63.38319812456806,66.54396614074773
2021-02-05 07:00:00,70.29476418177236,73.59767873022335
2021-02-05 08:00:00,73.52703890135939,77.26406416350612
2021-02-05 09:00:00,61.20351101875231,64.97238361570514
2021-02-05 10:00:00,46.5228372828157,49.680524893336965
2021-02-05 11:00:00,32.66177212027248,35.486232165858446
2021-02-05 12:00:00,26.295584145121918,28.779446707301112
2021-02-05 13:00:00,25.049114397366754,28.04963635921481
2021-02-05 14:00:00,21.94030032953448,25.162764302660516
2021-02-05 15:00:00,20.513130702972774,23.820567970275754
2021-02-05 16:00:00,21.138009697596864,24.310504479936995
2021-02-05 17:00:00,24.443174817296583,27.427950150172347
2021-02-05 18:00:00,42.396248301400114,46.04015389548316
2021-02-05 19:00:00,68.9992700597972,72.5829732841913
2021-02-05 20:00:00,73.82288020451855,77.43074176046554
2021-02-05 21:00:00,77.65713858074623,81.43915789922198
2021-02-05 22:00:00,90.62230086644499,94.43467355516013
2021-02-05 23:00:00,97.16745185639964,101.07694108327873
2021-02-06 00:00:00,95.38495684941931,98.94403863483072
2021-02-06 01:00:00,76.1163878178664,78.96189108105516
2021-02-06 02:00:00,69.91786885473569,72.55544963624801
2021-02-06 03:00:00,65.84448477093157,68.30723383057513
2021-02-06 04:00:00,60.29857890870828,62.66984390470755
2021-02-06 05:00:00,47.404921098285826,49.122168810102266
2021-02-06 06:00:00,42.2126279348802,43.651997877757
2021-02-06 07:00:00,43.164990648164014,44.72241116788646
2021-02-06 08:00:00,24.295822348329168,25.774276582665443
2021-02-06 09:00:00,14.375454419983924,15.648298368056691
2021-02-06 10:00:00,13.54774602814204,14.745051530575019
2021-02-06 11:00:00,14.513512688477517,16.06152065012181
2021-02-06 12:00:00,15.929919987254246,17.3846023313195
2021-02-06 13:00:00,17.579038615492134,19.252231211927025
2021-02-06 14:00:00,22.82367364592081,25.053173816468995
2021-02-06 15:00:00,24.93356459909003,26.82808044645522
2021-02-06 16:00:00,32.52968918111716,34.923271288872144
2021-02-06 17:00:00,35.68046673933698,37.77882219791399
2021-02-06 18:00:00,29.48360763020066,31.302212552494602
2021-02-06 19:00:00,39.559248461723385,41.50196374416405
2021-02-06 20:00:00,62.990857035318996,65.36870635562511
2021-02-06 21:00:00,76.53045415348483,78.73977883233005
2021-02-06 22:00:00,79.45592469427338,81.61837473127524
2021-02-06 23:00:00,79.11575325066077,81.55486898382615
2021-02-07 00:00:00,71.83813724411853,74.06681194093446
2021-02-07 01:00:00,67.97808844248549,69.94640963130504
2021-02-07 02:00:00,67.05035635524395,69.11365761333026
2021-02-07 03:00:00,49.870686419499634,51.41648433060282
2021-02-07 04:00:00,47.10455148590863,48.3728681914012
2021-02-07 05:00:00,42.64440177731121,43.825149583122474
2021-02-07 06:00:00,40.53897281169953,41.5976061964034
2021-02-07 07:00:00,65.21977255609303,66.66830581982938
2021-02-07 08:00:00,64.60945631345132,65.8682324229347
2021-02-07 09:00:00,71.49162837364348,72.7044760889751
2021-02-07 10:00:00,90.08441056145631,91.94703881793527
2021-02-07 11:00:00,80.14344539218483,82.39983706792118
2021-02-07 12:00:00,126.89124552125524,129.72146114668982
2021-02-07 13:00:00,105.1038911586272,108.18249636544265
2021-02-07 14:00:00,82.14035061054936,85.23298309981826
2021-02-07 15:00:00,59.31371123956959,63.414423487174034
2021-02-07 16:00:00,51.30113546901297,55.223156704372244
2021-02-07 17:00:00,48.10451180881922,50.758006446626695
2021-02-07 18:00:00,52.646407346725375,54.971595247056776
2021-02-07 19:00:00,57.73196715248926,59.73948125733341
2021-02-07 20:00:00,69.90084237797353,72.21316212788909
2021-02-07 21:00:00,98.52895485984118,101.16246869192972
2021-02-07 22:00:00,124.7543321355066,127.67930475446418
2021-02-07 23:00:00,107.5246609412313,110.0545386229629
2021-02-08 00:00:00,83.04556739171363,85.0926244587377
2021-02-08 01:00:00,82.89579584987337,84.85515588472934
2021-02-08 02:00:00,74.99307731310577,76.62368999481221
2021-02-08 03:00:00,78.04920238195045,79.63548882601145
2021-02-08 04:00:00,71.0737180190617,72.49128311263273
2021-02-08 05:00:00,63.71444611177525,65.033693401423
2021-02-08 06:00:00,77.29008282025727,78.65323829332986
2021-02-08 07:00:00,86.59208724657763,88.03565791024107
2021-02-08 08:00:00,97.31420331699154,98.43815845376396
2021-02-08 09:00:00,100.82575887679673,102.35362922033104
2021-02-08 10:00:00,113.69325678507845,116.36765852186912
2021-02-08 11:00:00,,
2021-02-08 12:00:00,54.90250206841336,56.138782624139154
2021-02-08 13:00:00,50.50835035853967,51.98770336363052
2021-02-08 14:00:00,65.83717721833145,68.42636159578983
