time,T(^oC),RH(%),CH4,CO(ppm),CO2(ppm),PM10(ug/m3),PM2.5(ug/m3),NMHC,NO(ppb),NO2(ppb),NOx(ppb),O3(ppb),SO2(ppb),THC,WIND_DIREC,WIND_SPEED
2021/2/18 03:00,14.4,69,2.09,0.34,427,60,32,0.09,2.1,11.3,13.4,26.2,2.3,2.18,,
2021/2/18 04:00,14.5,67,2.06,0.3,428,54,27,0.08,2.4,10.7,13.1,27.9,2.3,2.14,,
2021/2/18 05:00,14.5,63,2.03,0.28,423,49,29,0.07,1.7,10.4,12.1,29.2,2.2,2.1,,
2021/2/18 06:00,14.5,63,2.06,0.31,426,48,28,0.08,1.6,14.1,15.7,25.1,2,2.14,,
2021/2/18 07:00,14.5,64,2.06,0.36,425,50,29,0.11,3,18.8,21.8,19.7,1.8,2.17,,
2021/2/18 08:00,15.4,64,2.06,0.38,424,55,27,0.12,6,17.8,23.7,19.9,2,2.18,,
2021/2/18 09:00,17,60,2.07,0.37,425,59,35,0.14,8.8,19.1,27.9,21.3,2.3,2.21,,
2021/2/18 10:00,19.3,55,2.05,0.4,422,69,34,0.25,7.6,21.4,28.9,31.6,2.9,2.3,,
2021/2/18 11:00,21,53,2.03,0.44,424,80,39,0.31,6.5,20.5,27,40.3,2.8,2.34,,
2021/2/18 12:00,22.2,53,1.97,0.38,424,63,31,0.1,4.1,11.9,16,53.6,2.7,2.07,,
2021/2/18 13:00,21.8,54,1.96,0.32,,59,26,0.07,3,10.8,13.8,59,1.9,2.03,,
2021/2/18 14:00,21.8,52,1.94,0.31,,62,28,0.07,2.6,9.4,11.9,64.4,1.8,2.01,,
2021/2/18 15:00,21.1,54,1.93,0.29,420,53,24,0.06,2.8,8.9,11.7,63.7,1.6,1.99,,
2021/2/18 16:00,20.3,57,1.94,0.32,418,76,26,0.05,2.3,9.3,11.5,66.6,1.7,1.99,,
2021/2/18 17:00,19.5,61,1.94,0.4,417,98,31,0.08,2.2,12.3,14.5,64.8,1.8,2.02,,
2021/2/18 18:00,18.8,62,1.95,0.42,427,93,36,0.09,1.5,14.4,15.9,59.6,1.7,2.04,,
2021/2/18 19:00,18.4,60,1.98,0.42,430,93,32,0.15,2,17.2,19.2,50,2.1,2.13,,
2021/2/18 20:00,17.3,57,2.02,0.44,442,90,32,0.15,1.8,23,24.8,34.1,4.2,2.17,,
2021/2/18 21:00,16.5,60,2.06,0.46,447,83,36,0.15,1.9,29.7,31.6,22.4,3.7,2.21,,
2021/2/18 22:00,15.8,63,2.06,0.43,445,87,32,0.14,2.2,25,27.2,21.8,3.2,2.2,,
2021/2/18 23:00,15.1,64,2.14,0.43,441,88,33,0.2,2.1,25.6,27.7,17.2,2.9,2.34,,
2021/2/19 00:00,14.6,68,2.15,0.43,437,76,30,0.19,2.2,26.9,29.1,12.8,2.2,2.34,,
2021/2/19 01:00,14.3,70,2.17,0.4,443,75,34,0.15,1.7,22,23.6,14.5,1.8,2.32,,
2021/2/19 02:00,14.2,71,2.16,0.38,455,70,32,0.15,1.6,21.5,23.1,12.6,1.8,2.31,,
2021/2/19 03:00,14.4,74,2.32,0.41,464,75,34,0.16,8.1,25.5,33.6,5.5,1.5,2.48,,
2021/2/19 04:00,14.6,78,2.23,0.44,469,73,31,0.14,15.7,35.1,50.7,2.4,1.4,2.37,,
2021/2/19 05:00,14.7,78,2.15,0.44,476,63,30,0.15,16.9,37.2,54.1,2.7,1.5,2.3,,
2021/2/19 06:00,14.6,78,2.18,0.58,482,77,42,0.17,58.5,37.3,95.8,3.4,2.3,2.35,,
2021/2/19 07:00,15.4,77,2.19,0.92,472,98,33,0.27,62.9,38.9,101.8,3.6,2.5,2.46,,
2021/2/19 08:00,17.5,72,2.01,0.45,460,73,38,0.11,10.4,28.5,38.9,23.5,2.1,2.12,,
